total_bill,tip,sex,smoker,day,time,size,avg_tip,max_tip,avg_bill,total_bills_by_day,avg_tip_by_sex,avg_tip_by_smoker,tip_zscore,tip_percentage
16.99,1.01,Female,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,2.8431395348837207,2.9918543046357615,-1.4415134674930157,5.9446733372572105
10.34,1.66,Male,No,Sun,Dinner,3,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.9712314222786774,16.054158607350097
21.01,3.5,Male,No,Sun,Dinner,3,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,0.3600285210972955,16.658733936220845
23.68,3.31,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,0.2225614617269505,13.97804054054054
24.59,3.61,Female,No,Sun,Dinner,4,3.26,6.5,21.41,1627.16,2.8431395348837207,2.9918543046357615,0.4396147133643373,14.680764538430255
25.29,4.71,Male,No,Sun,Dinner,4,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,1.235476636034756,18.62396204033215
8.77,2.0,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.7252377370896389,22.80501710376283
26.88,3.12,Male,No,Sun,Dinner,4,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,0.08509440235660551,11.607142857142858
15.04,1.96,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.7541781706412906,13.031914893617023
14.78,3.23,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,0.16468059462364726,21.853856562922868
10.27,1.71,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.9350558803391129,16.65043816942551
35.26,5.0,Female,No,Sun,Dinner,4,3.26,6.5,21.41,1627.16,2.8431395348837207,2.9918543046357615,1.44529477928423,14.180374361883155
15.42,1.57,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-1.0363473977698934,10.181582360570687
18.43,3.0,Male,No,Sun,Dinner,4,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.0017268982983493265,16.277807921866522
14.83,3.02,Female,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,2.8431395348837207,2.9918543046357615,0.012743318477476479,20.364126770060686
21.58,3.92,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,0.663903073389637,18.164967562557923
10.33,1.67,Female,No,Sun,Dinner,3,3.26,6.5,21.41,1627.16,2.8431395348837207,2.9918543046357615,-0.9639963138907646,16.16650532429816
16.29,3.71,Male,No,Sun,Dinner,3,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,0.5119657972434662,22.774708410067525
16.97,3.5,Female,No,Sun,Dinner,3,3.26,6.5,21.41,1627.16,2.8431395348837207,2.9918543046357615,0.3600285210972955,20.624631703005306
20.65,3.35,Male,No,Sat,Dinner,3,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,0.2515018952786021,16.222760290556902
17.92,4.08,Male,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,0.7796648075962435,22.767857142857142
20.29,2.75,Female,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,2.9918543046357615,-0.18260460799617173,13.553474618038445
15.77,2.23,Female,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,2.9918543046357615,-0.5588302441676424,14.140773620798985
39.42,7.58,Male,No,Sat,Dinner,4,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,3.311952743365757,19.228817858954844
19.82,3.18,Male,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,0.1285050526840829,16.044399596367306
17.81,2.34,Male,No,Sat,Dinner,4,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,-0.4792440519006006,13.138686131386862
13.37,2.0,Male,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,-0.7252377370896389,14.958863126402393
12.69,2.0,Male,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,-0.7252377370896389,15.760441292356187
21.7,4.3,Male,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,0.938837192130327,19.81566820276498
19.65,3.0,Female,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,2.9918543046357615,-0.0017268982983493265,15.267175572519085
9.55,1.45,Male,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,-1.1231686984248483,15.18324607329843
18.35,2.5,Male,No,Sat,Dinner,4,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,-0.36348231769399414,13.623978201634875
15.06,3.0,Female,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,2.9918543046357615,-0.0017268982983493265,19.9203187250996
20.69,2.45,Female,No,Sat,Dinner,4,2.99,10.0,20.44,1778.4,2.8431395348837207,2.9918543046357615,-0.3996578596335585,11.841469308844852
17.78,3.27,Male,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,0.1936210281752989,18.391451068616423
24.06,3.6,Male,No,Sat,Dinner,3,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,0.4323796049764245,14.962593516209477
16.31,2.0,Male,No,Sat,Dinner,3,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,-0.7252377370896389,12.262415695892091
16.93,3.07,Female,No,Sat,Dinner,3,2.99,10.0,20.44,1778.4,2.8431395348837207,2.9918543046357615,0.048918860417040834,18.13349084465446
18.69,2.31,Male,No,Sat,Dinner,3,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,-0.5009493770643392,12.359550561797752
31.27,5.0,Male,No,Sat,Dinner,3,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,1.44529477928423,15.98976654940838
16.04,2.24,Male,No,Sat,Dinner,3,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,-0.5515951357797293,13.965087281795514
17.46,2.54,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.33454188414234254,14.547537227949597
13.94,3.06,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,0.041683752029128086,21.951219512195124
9.68,1.32,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-1.2172251074677158,13.636363636363638
30.4,5.6,Male,No,Sun,Dinner,4,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,1.8794012825590034,18.421052631578945
18.29,3.0,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.0017268982983493265,16.402405686167302
22.23,5.0,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,1.44529477928423,22.492127755285647
32.4,6.0,Male,No,Sun,Dinner,4,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,2.1688056180755195,18.51851851851852
28.55,2.05,Male,No,Sun,Dinner,3,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.6890621951500746,7.180385288966725
18.04,3.0,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.0017268982983493265,16.629711751662974
12.54,2.5,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.36348231769399414,19.936204146730464
10.29,2.6,Female,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,2.8431395348837207,2.9918543046357615,-0.2911312338148651,25.26724975704568
34.81,5.2,Female,No,Sun,Dinner,4,3.26,6.5,21.41,1627.16,2.8431395348837207,2.9918543046357615,1.589996947042488,14.938236139040505
9.94,1.56,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-1.0435825061578063,15.694164989939638
25.56,4.34,Male,No,Sun,Dinner,4,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,0.9677776256819787,16.97965571205008
19.49,3.51,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,0.36726362948520824,18.009235505387377
38.01,3.0,Male,Yes,Sat,Dinner,4,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,-0.0017268982983493265,7.892659826361484
26.41,1.5,Female,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,2.9918543046357615,-1.0869931564852837,5.679666792881484
11.24,1.76,Male,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,-0.8988803383995484,15.658362989323843
48.27,6.73,Male,No,Sat,Dinner,4,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,2.6969685303931614,13.942407292314066
20.29,3.21,Male,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,0.15021037784782146,15.82060128141942
13.81,2.0,Male,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,-0.7252377370896389,14.482259232440258
11.02,1.98,Male,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,-0.7397079538654647,17.96733212341198
18.29,3.76,Male,Yes,Sat,Dinner,4,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,0.5481413391830307,20.55768179332969
17.59,2.64,Male,No,Sat,Dinner,3,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,-0.2621908002632135,15.008527572484368
20.08,3.15,Male,No,Sat,Dinner,3,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,0.10679972752034406,15.687250996015937
16.45,2.47,Female,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,2.9918543046357615,-0.38518764285773266,15.01519756838906
3.07,1.0,Female,Yes,Sat,Dinner,1,2.99,10.0,20.44,1778.4,2.8431395348837207,3.019673913043478,-1.4487485758809286,32.57328990228013
20.23,2.01,Male,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,-0.7180026287017262,9.935739001482945
15.01,2.09,Male,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,-0.660121761598423,13.924050632911392
12.02,1.97,Male,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,-0.7469430622533777,16.38935108153078
17.07,3.0,Female,No,Sat,Dinner,3,2.99,10.0,20.44,1778.4,2.8431395348837207,2.9918543046357615,-0.0017268982983493265,17.57469244288225
26.86,3.14,Female,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,3.019673913043478,0.09956461913243131,11.69024571854058
25.28,5.0,Female,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,3.019673913043478,1.44529477928423,19.77848101265823
14.73,2.2,Female,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,2.9918543046357615,-0.5805355693313808,14.935505770536322
10.51,1.25,Male,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,-1.2678708661831062,11.893434823977165
17.92,3.08,Male,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,0.056153968804953894,17.1875
27.2,4.0,Male,No,Thur,Lunch,4,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,0.7217839404929403,14.705882352941178
22.76,3.0,Male,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,-0.0017268982983493265,13.181019332161686
17.29,2.71,Male,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,-0.21154504154782333,15.6737998843262
19.44,3.0,Male,Yes,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,3.019673913043478,-0.0017268982983493265,15.432098765432098
16.66,3.4,Male,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,0.28767743721816647,20.408163265306122
10.07,1.83,Female,No,Thur,Lunch,1,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-0.8482345796841582,18.17279046673287
32.68,5.0,Male,Yes,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,3.019673913043478,1.44529477928423,15.299877600979192
15.98,2.03,Male,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,-0.7035324119259004,12.703379224030037
